feature,importance,std
log_conc_mg_L,0.9701794291723749,0.6047448775348535
temp_conc_interaction,0.24520986845628143,0.09512338989076558
inhibitor_conc_mg_L,0.194576676131532,0.06249215449871184
temperature_C,0.11750893827600088,0.027114021483140138
acid_type_encoded,0.019311251460920963,0.025431805939029353
acid_molarity_M,0.012223739369931375,0.021575167653640724
acid_strength_norm,0.01222373936993133,0.021575167653640717
immersion_time_h,0.004191574178183688,0.011201383789999983
inhibitor_name_Peanut shell extract,0.00025070181241252374,0.0012351221804284694
method_EIS,-0.001326170048065034,0.002104234693093865
acid_H2SO4,-0.002719033469958487,0.003778254961766163
acid_HCl,-0.002719033469958487,0.003778254961766163
inhibitor_name_Aloe vera extract,-0.0036812394035276143,0.005381569737561058
inhibitor_name_Curry leaf extract,-0.0038840195685226784,0.005695287100054279
method_Weight loss,-0.042157674837725,0.032140100321077704
method_PDP,-0.05824996251153578,0.020917812855699217
