feature,importance,std
temperature_C,0.9195368795150658,0.988128233879969
acid_molarity_M,0.35220259528457254,0.3864071801764537
acid_strength_norm,0.35220259528457254,0.3864071801764537
immersion_time_h,0.006523595720229025,0.007264406784923713
inhibitor_name_Peanut shell extract,0.0,0.0
method_EIS,0.0,0.0
method_PDP,0.0,0.0
method_Weight loss,0.0,0.0
acid_H2SO4,-0.03118605173022022,0.034788270101367945
acid_HCl,-0.03118605173022022,0.034788270101367945
acid_type_encoded,-0.12445582739282024,0.13944962235985928
inhibitor_name_Aloe vera extract,-0.5203658455975384,0.5954464612466286
inhibitor_name_Curry leaf extract,-1.266120372560678,1.528758581608121
inhibitor_conc_mg_L,-1.6433711205309287,2.2018403908986075
temp_conc_interaction,-2.06028396148859,2.9522991756671106
log_conc_mg_L,-6.025109121880793,3.200942685226477
