paper_id,inhibitor_name,inhibitor_scientific,steel_grade,acid,acid_molarity_M,temperature_C,immersion_time_h,inhibitor_conc_mg_L,method,corrosion_rate_value,corrosion_rate_unit,inhibition_efficiency_pct,notes,log_conc_mg_L,temp_filled,temp_conc_interaction,acid_strength_norm,is_blank,immersion_time_bin,surface_coverage,ln_Kads
main.pdf,Peanut shell extract,Arachis hypogaea (peanut) shell,Q235 carbon steel,H2SO4,0.5,25.0,12.0,0.0,Weight loss,14.5,g/m^2/h,0.0,Weight loss test at 25°C for 12 h; table includes temps 25-40°C.,-3.0,25.0,0.0,1.0,0,medium,0.0,
main.pdf,Peanut shell extract,Arachis hypogaea (peanut) shell,Q235 carbon steel,H2SO4,0.5,25.0,12.0,300.0,Weight loss,1.84,g/m^2/h,87.29,Weight loss test at 25°C for 12 h; table includes temps 25-40°C.,2.4771227023655227,25.0,7.5,1.0,0,medium,0.8729,10.038567039064306
main.pdf,Peanut shell extract,Arachis hypogaea (peanut) shell,Q235 carbon steel,H2SO4,0.5,30.0,12.0,0.0,Weight loss,19.5,g/m^2/h,0.0,Weight loss test at 25°C for 12 h; table includes temps 25-40°C.,-3.0,30.0,0.0,1.0,0,medium,0.0,
main.pdf,Peanut shell extract,Arachis hypogaea (peanut) shell,Q235 carbon steel,H2SO4,0.5,30.0,12.0,300.0,Weight loss,2.92,g/m^2/h,85.07,Weight loss test at 25°C for 12 h; table includes temps 25-40°C.,2.4771227023655227,30.0,9.0,1.0,0,medium,0.8506999999999999,9.851823220843555
main.pdf,Peanut shell extract,Arachis hypogaea (peanut) shell,Q235 carbon steel,H2SO4,0.5,35.0,12.0,0.0,Weight loss,24.9,g/m^2/h,0.0,Weight loss test at 25°C for 12 h; table includes temps 25-40°C.,-3.0,35.0,0.0,1.0,0,medium,0.0,
main.pdf,Peanut shell extract,Arachis hypogaea (peanut) shell,Q235 carbon steel,H2SO4,0.5,35.0,12.0,300.0,Weight loss,4.75,g/m^2/h,80.96,Weight loss test at 25°C for 12 h; table includes temps 25-40°C.,2.4771227023655227,35.0,10.5,1.0,0,medium,0.8096,9.559136007396962
main.pdf,Peanut shell extract,Arachis hypogaea (peanut) shell,Q235 carbon steel,H2SO4,0.5,40.0,12.0,0.0,Weight loss,34.3,g/m^2/h,0.0,Weight loss test at 25°C for 12 h; table includes temps 25-40°C.,-3.0,40.0,0.0,1.0,0,medium,0.0,
main.pdf,Peanut shell extract,Arachis hypogaea (peanut) shell,Q235 carbon steel,H2SO4,0.5,40.0,12.0,300.0,Weight loss,11.4,g/m^2/h,66.81,Weight loss test at 25°C for 12 h; table includes temps 25-40°C.,2.4771227023655227,40.0,12.0,1.0,0,medium,0.6681,8.811329214562406
ElectrochemistryResults.csv,Curry leaf extract,Murraya koenigii (L.) Spreng,ASTM A36,H2SO4,2.0,25.0,6.0,0.0,PDP,7.398,uA/cm2,0.0,Electrochemical PDP blank; icorr=7.398 uA (avg of 3 samples),-3.0,25.0,0.0,4.0,0,short,0.0,
ElectrochemistryResults.csv,Curry leaf extract,Murraya koenigii (L.) Spreng,ASTM A36,H2SO4,2.0,25.0,6.0,2000.0,PDP,5.528,uA/cm2,25.27,Electrochemical PDP 20%; icorr=5.528 uA; IE=(7.398-5.528)/7.398*100,3.3010302128111677,25.0,50.0,4.0,0,short,0.2527,5.130343063730315
ElectrochemistryResults.csv,Curry leaf extract,Murraya koenigii (L.) Spreng,ASTM A36,H2SO4,2.0,25.0,6.0,3000.0,PDP,0.00333,uA/cm2,99.95,Electrochemical PDP 30%; icorr=0.00333 uA; excellent inhibition,3.477121399484466,25.0,75.0,4.0,0,short,0.9995,
